						algo_2														algo_3														algo_4
Name      	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     
n_6_e_1   	-      	-      	-      	-      	-      	-      	~~     79.97  	0.02   	10     	6      	0.0    	17     	~~     79.97  	0.173  	10     	6      	0.0    	16     	~~     
n_18_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_19_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_20_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_21_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_22_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_23_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_24_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
